Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
THEFT,RESIDENCE,False,False,424,4.0,7.0,46.0,2004,1,1,0,Thursday
OTHER OFFENSE,RESIDENCE,False,True,935,9.0,11.0,61.0,2003,3,1,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1413,14.0,35.0,22.0,2004,6,20,11,Sunday
THEFT,OTHER,False,False,2521,25.0,31.0,20.0,2004,12,30,20,Thursday
THEFT,RESIDENCE,False,False,2233,22.0,34.0,49.0,2003,5,1,1,Thursday
THEFT,APARTMENT,False,False,1011,10.0,24.0,29.0,2004,8,1,0,Sunday
CRIM SEXUAL ASSAULT,RESIDENCE,True,True,531,5.0,9.0,50.0,2001,1,1,11,Monday
OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,False,False,2222,22.0,21.0,73.0,2003,3,15,0,Saturday
THEFT,RESIDENCE,False,False,1831,18.0,42.0,8.0,2004,9,16,10,Thursday
THEFT,RESIDENCE,False,False,1134,11.0,24.0,29.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,2223,22.0,21.0,73.0,2003,6,5,0,Thursday
THEFT,RESIDENCE,False,False,2022,20.0,48.0,77.0,2004,11,1,0,Monday
THEFT,RESIDENCE,False,False,813,8.0,13.0,65.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,421,4.0,7.0,43.0,2004,11,1,0,Monday
THEFT,RESIDENCE,False,False,922,9.0,11.0,59.0,2003,11,1,8,Saturday
THEFT,APARTMENT,False,False,823,8.0,15.0,66.0,2003,11,15,9,Saturday
THEFT,RESIDENCE,False,False,1422,14.0,26.0,23.0,2003,1,2,8,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,813,8.0,13.0,62.0,2001,1,1,0,Monday
THEFT,OTHER,False,False,913,9.0,12.0,59.0,2001,1,1,0,Monday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1422,14.0,26.0,23.0,2002,6,14,16,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,726,7.0,15.0,67.0,2001,6,16,8,Saturday
THEFT,APARTMENT,False,False,113,1.0,42.0,32.0,2004,1,1,0,Thursday
MOTOR VEHICLE THEFT,GAS STATION,False,False,725,7.0,15.0,67.0,2003,10,31,14,Friday
THEFT,RESIDENCE,False,False,835,8.0,18.0,70.0,2003,1,1,9,Wednesday
THEFT,COMMERCIAL / BUSINESS OFFICE,True,False,1613,16.0,41.0,10.0,2003,1,1,0,Wednesday
SEX OFFENSE,RESIDENCE,False,False,1524,15.0,37.0,25.0,2001,6,1,8,Friday
THEFT,OTHER,False,False,324,3.0,5.0,43.0,2003,1,1,12,Wednesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,332,3.0,5.0,43.0,2004,12,13,13,Monday
THEFT,RESIDENCE,False,False,2514,25.0,30.0,19.0,2004,10,6,9,Wednesday
OTHER OFFENSE,RESIDENCE,False,False,631,6.0,8.0,44.0,2004,1,12,15,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,False,411,4.0,8.0,45.0,2004,9,17,9,Friday
THEFT,APARTMENT,False,False,111,1.0,2.0,28.0,2003,12,10,9,Wednesday
THEFT,RESIDENCE,False,True,1413,14.0,26.0,22.0,2001,7,25,10,Wednesday
THEFT,RESIDENCE,False,False,722,7.0,6.0,68.0,2001,6,23,20,Saturday
THEFT,RESIDENCE,False,False,1032,10.0,22.0,30.0,2003,5,23,9,Friday
THEFT,RESIDENCE,False,True,233,2.0,20.0,40.0,2003,6,18,9,Wednesday
THEFT,OTHER,False,False,2521,25.0,31.0,19.0,2003,12,1,0,Monday
THEFT,RESIDENCE,False,False,1533,15.0,28.0,25.0,2003,8,1,9,Friday
THEFT,RESIDENCE,False,False,1622,16.0,45.0,11.0,2004,1,1,0,Thursday
THEFT,STREET,False,False,2312,19.0,46.0,3.0,2003,7,7,0,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,False,612,6.0,17.0,71.0,2003,8,9,12,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,321,3.0,20.0,42.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,1024,10.0,22.0,30.0,2002,7,1,0,Monday
SEX OFFENSE,OTHER,False,False,111,1.0,2.0,28.0,2004,11,1,0,Monday
DECEPTIVE PRACTICE,APARTMENT,False,False,314,3.0,20.0,42.0,2004,3,1,9,Monday
DECEPTIVE PRACTICE,BANK,False,True,825,8.0,15.0,66.0,2004,6,29,0,Tuesday
BATTERY,SMALL RETAIL STORE,False,False,512,5.0,9.0,49.0,2004,6,27,15,Sunday
OTHER OFFENSE,RESIDENCE,False,False,314,3.0,20.0,42.0,2003,11,1,12,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,True,False,2522,25.0,31.0,19.0,2004,7,8,0,Thursday
THEFT,RESIDENCE,False,False,2534,25.0,30.0,23.0,2004,1,1,0,Thursday
THEFT,OTHER,False,False,835,8.0,18.0,70.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,1632,16.0,36.0,17.0,2004,8,1,12,Sunday
THEFT,RESIDENCE,False,False,2111,9.0,25.0,34.0,2003,10,1,0,Wednesday
THEFT,RESIDENCE,False,False,911,9.0,14.0,63.0,2003,8,3,0,Sunday
THEFT,APARTMENT,False,False,2525,25.0,30.0,22.0,2003,7,1,0,Tuesday
BURGLARY,RESIDENCE,False,False,935,9.0,3.0,37.0,2004,7,3,16,Saturday
THEFT,OTHER,False,True,825,8.0,15.0,66.0,2004,10,13,12,Wednesday
OTHER OFFENSE,APARTMENT,False,False,631,6.0,6.0,44.0,2004,6,15,12,Tuesday
THEFT,APARTMENT,False,False,1622,16.0,45.0,11.0,2004,11,1,0,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,2512,25.0,29.0,19.0,2004,1,1,0,Thursday
THEFT,DEPARTMENT STORE,False,False,623,6.0,17.0,69.0,2004,2,9,14,Monday
THEFT,SIDEWALK,False,False,831,8.0,18.0,66.0,2004,7,9,0,Friday
DECEPTIVE PRACTICE,BANK,False,False,2312,19.0,48.0,3.0,2003,2,15,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,433,4.0,10.0,55.0,2001,5,1,0,Tuesday
THEFT,RESIDENCE,False,False,1111,11.0,37.0,23.0,2003,7,30,0,Wednesday
THEFT,RESIDENCE,False,False,2534,25.0,27.0,23.0,2003,9,1,9,Monday
THEFT,RESIDENCE,False,False,313,3.0,20.0,42.0,2003,7,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,APARTMENT,True,True,233,2.0,20.0,40.0,2004,11,1,0,Monday
THEFT,RESIDENCE,False,False,1623,16.0,45.0,11.0,2004,1,1,12,Thursday
THEFT,APPLIANCE STORE,False,False,212,2.0,4.0,35.0,2003,2,1,12,Saturday
THEFT,RESIDENCE,False,False,2311,19.0,46.0,3.0,2003,6,1,9,Sunday
THEFT,RESIDENCE,False,False,321,3.0,20.0,42.0,2003,11,12,10,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2531,25.0,29.0,25.0,2002,1,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,HOTEL/MOTEL,False,True,1832,18.0,42.0,8.0,2002,1,1,0,Tuesday
SEX OFFENSE,MEDICAL/DENTAL OFFICE,False,False,2223,22.0,21.0,73.0,2004,10,13,11,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,712,7.0,16.0,68.0,2003,9,19,15,Friday
THEFT,PARKING LOT/GARAGE(NON.RESID.),False,False,1123,11.0,28.0,27.0,2003,7,1,9,Tuesday
THEFT,BANK,False,False,412,4.0,8.0,45.0,2002,1,9,12,Wednesday
SEX OFFENSE,APARTMENT,False,False,2122,2.0,4.0,35.0,2002,1,1,0,Tuesday
THEFT,RESIDENCE,False,False,413,4.0,8.0,48.0,2003,12,1,10,Monday
SEX OFFENSE,APARTMENT,False,False,1433,14.0,1.0,24.0,2004,7,17,0,Saturday
SEX OFFENSE,RESIDENCE,False,False,2221,22.0,19.0,72.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,623,6.0,17.0,69.0,2003,11,1,0,Saturday
THEFT,RESIDENCE,False,False,2512,25.0,36.0,18.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,2222,22.0,21.0,73.0,2003,7,1,9,Tuesday
OTHER OFFENSE,APARTMENT,False,False,1634,16.0,38.0,15.0,2003,5,16,0,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,934,9.0,3.0,37.0,2004,2,21,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1522,15.0,29.0,25.0,2004,7,14,18,Wednesday
THEFT,BANK,True,False,1824,18.0,42.0,8.0,2004,12,2,9,Thursday
THEFT,RESIDENCE,False,False,2533,25.0,31.0,19.0,2003,12,1,9,Monday
WEAPONS VIOLATION,RESIDENCE,False,False,614,6.0,18.0,71.0,2004,1,1,0,Thursday
MOTOR VEHICLE THEFT,ALLEY,False,False,733,7.0,17.0,68.0,2004,8,17,9,Tuesday
THEFT,RESIDENCE,False,False,1024,10.0,22.0,30.0,2002,12,6,7,Friday
THEFT,RESIDENCE,False,False,1023,10.0,28.0,30.0,2004,12,28,12,Tuesday
THEFT,RESIDENCE,False,False,2213,22.0,21.0,73.0,2004,9,1,12,Wednesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,733,7.0,17.0,68.0,2004,2,4,9,Wednesday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,932,9.0,16.0,61.0,2004,1,1,0,Thursday
THEFT,STREET,False,False,831,8.0,18.0,66.0,2003,11,1,12,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,2525,25.0,35.0,22.0,2002,1,1,1,Tuesday
THEFT,SMALL RETAIL STORE,False,False,1423,14.0,1.0,24.0,2004,10,1,0,Friday
